listing_id,date
14793592,2019-05-13
14793592,2019-05-17
14793592,2019-05-19
14793592,2019-05-22
14793592,2019-06-03
14793592,2019-06-12
14793592,2019-06-16
14793592,2019-06-22
14793592,2019-06-23
14793592,2019-06-28
14793592,2019-07-07
14793592,2019-07-11
14793592,2019-07-12
14793592,2019-07-14
14793592,2019-07-22
14793592,2019-07-29
14793592,2019-08-04
14793592,2019-08-11
14793592,2019-08-18
14793592,2019-08-25
14793592,2019-08-27
14793592,2019-09-04
14793592,2019-09-11
14793592,2019-09-15
14793592,2019-09-29
14793592,2019-10-20
14793592,2019-10-30
14793592,2019-11-10
14793592,2019-11-25
14793592,2019-12-01
14793592,2019-12-15
14793592,2019-12-24
14793592,2019-12-27
14793592,2019-12-28
14793592,2019-12-29
14793592,2020-01-01
14793592,2020-01-12
14793592,2020-01-26
14793592,2020-02-02
14793592,2020-02-15
14793592,2020-02-16
14793592,2020-02-23
14793592,2020-03-01
14793592,2020-03-08
14793592,2020-03-16
14793592,2020-03-17
14793592,2020-05-17
14793592,2020-05-31
14793592,2020-06-11
14793592,2020-06-12
14793592,2020-06-13
14793592,2020-06-14
14793592,2020-06-17
14793592,2020-06-21
14793592,2020-06-27
14793592,2020-06-29
14793592,2020-07-02
14793592,2020-07-07
14793592,2020-07-08
14793592,2020-07-14
14793592,2020-07-19
14793592,2020-07-22
14793592,2020-07-23
14793592,2020-07-27
14793592,2020-07-29
14793592,2020-08-03
14793592,2020-08-09
14793592,2020-08-21
14793592,2020-08-23
14793592,2020-08-30
14793592,2020-09-06
14793592,2020-09-13
14793592,2020-09-14
14793592,2020-09-20
14793592,2020-10-04
14793592,2020-10-08
14793592,2020-10-11
14793592,2020-10-23
14793592,2020-10-25
14793592,2020-11-01
14793592,2020-11-06
14793592,2020-11-07
14793592,2020-11-08
14793592,2020-11-15
14793592,2020-11-17
14793592,2020-11-19
14793592,2020-11-28
14793592,2020-11-29
14793592,2020-12-05
14793592,2020-12-11
14793592,2020-12-12
14793592,2020-12-16
14793592,2020-12-17
14793592,2020-12-21
14793592,2020-12-22
14793592,2020-12-29
14793592,2021-01-03
14793592,2021-01-09
14793592,2021-01-10
14793592,2021-01-17
14793592,2021-01-24
14793592,2021-01-28
14793592,2021-01-29
14793592,2021-01-31
14793592,2021-02-02
14793592,2021-02-08
14793592,2021-02-10
14793592,2021-02-13
14793592,2021-02-14
14793592,2021-02-17
14793592,2021-02-20
14793592,2021-02-22
14798944,2016-09-23
14798944,2016-09-26
14798944,2016-10-02
14798944,2016-10-06
14798944,2016-10-15
14798944,2016-11-01
14798944,2016-11-07
14798944,2016-11-10
14798944,2016-11-13
14798944,2016-11-20
14798944,2016-11-25
14798944,2016-11-27
14798944,2016-12-11
14798944,2016-12-15
14798944,2016-12-29
14798944,2017-01-02
14798944,2017-01-15
14798944,2017-01-19
14798944,2017-02-28
14798944,2017-03-05
14798944,2017-03-10
14798944,2017-03-12
14798944,2017-03-19
14798944,2017-03-22
14798944,2017-03-25
14798944,2017-03-28
14798944,2017-04-03
14798944,2017-04-08
14798944,2017-04-11
14798944,2017-04-14
14798944,2017-04-17
14798944,2017-04-27
14798944,2017-05-06
14798944,2017-05-10
14798944,2017-05-12
14798944,2017-05-14
14798944,2017-05-18
14798944,2017-05-22
14798944,2017-05-27
14798944,2017-06-07
14798944,2017-06-10
14798944,2017-06-13
14798944,2017-06-16
14798944,2017-06-18
14798944,2017-06-25
14798944,2017-07-17
14798944,2017-07-31
14798944,2017-08-06
14798944,2017-08-13
14798944,2017-08-20
14798944,2017-08-31
14798944,2017-09-03
14798944,2017-09-10
14798944,2017-09-12
14798944,2017-09-16
14798944,2017-09-19
14798944,2017-09-24
14798944,2017-09-29
14798944,2017-10-02
14798944,2017-10-07
14798944,2017-10-12
14798944,2017-10-20
14798944,2017-10-25
14798944,2017-10-29
14798944,2017-11-01
14798944,2017-11-04
14798944,2017-11-10
14798944,2017-11-12
14798944,2017-11-16
14798944,2017-11-26
14798944,2017-12-03
14798944,2017-12-10
14798944,2017-12-14
14798944,2017-12-17
14798944,2017-12-25
14798944,2017-12-28
14798944,2018-01-04
14798944,2018-02-03
14798944,2018-02-11
14798944,2018-02-19
14798944,2018-02-28
14798944,2018-03-04
14798944,2018-03-07
14798944,2018-03-15
14798944,2018-03-25
14798944,2018-03-28
14798944,2018-05-07
14798944,2018-05-09
14798944,2018-05-13
14798944,2018-05-16
14798944,2018-05-19
14798944,2018-05-22
14798944,2018-05-27
14798944,2018-05-30
14798944,2018-06-05
14798944,2018-06-09
14798944,2018-06-16
14798944,2018-06-19
14798944,2018-06-24
14798944,2018-06-30
14798944,2018-07-03
14798944,2018-07-07
14798944,2018-07-21
14798944,2018-08-05
14798944,2018-08-13
14798944,2018-08-31
14798944,2018-09-04
14798944,2018-09-15
14798944,2018-09-24
14798944,2018-09-29
14798944,2018-10-02
14798944,2018-10-05
14798944,2018-10-10
14798944,2018-10-16
14798944,2018-10-22
14798944,2018-10-28
14798944,2018-10-31
14798944,2018-11-04
14798944,2018-11-18
14798944,2018-11-25
14798944,2018-12-09
14798944,2018-12-14
14798944,2018-12-22
14798944,2018-12-27
14798944,2018-12-30
14798944,2019-01-06
14798944,2019-01-14
14798944,2019-01-30
14798944,2019-02-04
14798944,2019-02-08
14798944,2019-02-10
14798944,2019-03-03
14798944,2019-03-12
14798944,2019-03-16
14798944,2019-03-23
14798944,2019-03-30
14798944,2019-04-01
